state,population,population_growth,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,murder,arson,rape1,rape2
Alabama,3979000,4.8,10670,19448,95380,156432,28830,350,1283,2024,1726
Alaska,534000,32.5,1729,4384,6567,24719,9261,65,728,438,438
Arizona,3184000,29.4,9711,21393,116514,194053,33489,321,1112,1736,1482
Arkansas,2366000,2.6,3936,8788,65000,103793,16052,228,747,1089,886
California,27058000,20.7,254707,222207,1069909,2052571,704240,3082,23892,13855,12469
Colorado,3308000,16.4,7487,14902,84435,177896,27330,200,1312,1989,1646
Connecticut,3181000,5.8,11857,13259,66580,122086,27927,194,1033,1417,1130
Delaware,622000,8.7,1944,4420,13732,30604,5818,45,281,495,401
Florida,11366000,28.7,75868,160765,441467,950036,169436,1883,9322,8591,7198
Georgia,5972000,18.6,24764,45370,169430,323113,60099,775,3327,3966,3496
Hawaii,1054000,14.9,3274,4106,23536,71033,12675,46,711,481,440
Idaho,1005000,5.7,1726,4013,20914,40647,6729,69,418,523,419
Illinois,11508000,2.0,70311,80105,267215,715693,124108,1762,7965,6936,5929
Indiana,5490000,1.4,15521,24331,93707,202016,39887,398,2084,2356,2037
Iowa,2837000,-3.4,4621,9071,54866,103961,21005,121,679,1140,898
Kansas,2438000,3.7,4943,12572,51932,105795,21026,163,747,1227,1003
Kentucky,3726000,1.6,5547,14833,65914,121601,21012,395,1454,1479,1287
Louisiana,4497000,4.7,16355,28108,106273,156038,30429,484,2277,2405,2095
Maine,1165000,5.2,1526,3909,26352,49808,8415,77,572,617,498
Maryland,4392000,8.2,17853,29508,88024,175306,38112,536,2702,2812,2407
Massachusetts,5843000,2.2,25307,32736,108415,178989,59955,388,3656,2978,2763
Michigan,9091000,2.2,36734,58693,206404,383144,89860,1168,5866,7198,6231
Minnesota,4193000,7.0,7745,12493,89124,180851,32640,165,1693,2180,1846
Mississippi,2621000,2.1,2945,9308,49268,74225,13830,186,1031,1370,1142
Missouri,5029000,2.3,14830,25529,101305,203823,39790,495,2669,2670,2239
Montana,826000,3.5,869,2493,16838,33813,6046,55,432,418,355
Nebraska,1583000,0.5,2924,5258,28066,64700,11988,87,478,770,615
Nevada,967000,28.6,5310,9481,37768,74562,15772,124,786,824,755
New Hampshire,999000,16.4,1095,2533,20304,42125,7348,50,281,455,366
New Jersey,7561000,6.3,27580,39224,135620,277739,69352,557,3735,3326,2871
New Mexico,1450000,11.4,3037,8681,37006,66507,12133,143,729,881,719
New York,17783000,2.0,162221,153999,363572,925836,131545,2479,16488,8870,7771
North Carolina,6347000,12.2,16499,38823,165703,298066,49577,684,3068,3178,2622
North Dakota,677000,-3.1,506,1097,12142,24319,4551,38,220,253,205
Ohio,10744000,0.5,37520,52988,227053,464989,97141,1034,5305,5456,4863
Oklahoma,3312000,8.5,8051,20337,85350,139127,28861,326,1719,1799,1494
Oregon,2677000,5.3,7303,16757,73613,143068,25112,206,1309,1611,1418
Pennsylvania,11794000,0.2,42280,57437,218633,423054,89803,1148,6306,5456,4876
Rhode Island,969000,5.7,2950,5075,21201,39962,9775,55,406,499,432
South Carolina,3307000,11.0,7427,25937,84362,157738,26522,377,1525,1953,1709
South Dakota,708000,-2.2,839,1686,12132,25391,4881,49,256,328,272
Tennessee,4768000,6.2,12255,33017,125557,188808,33170,531,2077,2345,2057
Texas,16370000,19.4,54546,121668,495991,1013883,225444,2606,12992,10323,8850
Utah,1672000,23.1,2398,6870,44723,87945,15473,76,520,721,602
Vermont,535000,8.2,584,1320,11666,22860,3545,32,279,288,242
Virginia,5805000,11.8,12327,20894,107614,224062,36552,475,2317,2866,2419
Washington,4403000,16.2,11367,24351,128477,240651,44205,341,1979,2757,2362
West Virginia,1936000,-5.3,1685,3614,31620,51240,11271,134,547,541,440
Wisconsin,4712000,3.9,8055,15506,87869,182906,29848,243,1554,1846,1626
Wyoming,510000,5.0,489,1672,8900,21112,4032,49,201,206,162
