date,temp_max,rain_mm
2024-01-01,2.9,0
2024-01-02,4.1,0
2024-01-03,8.1,0
2024-01-04,5.9,2.7
2024-01-05,3.9,5.8
2024-01-06,4.5,0
2024-01-07,7.3,0
2024-01-08,0.2,2.7
2024-01-09,-1.3,7.0
2024-01-10,9.3,1.9
2024-01-11,3.8,0
2024-01-12,-1.3,0
2024-01-13,-0.3,0
2024-01-14,5.9,0
2024-01-15,2.5,0
2024-01-16,-1.4,0
2024-01-17,-1.0,0
2024-01-18,5.1,1.0
2024-01-19,4.9,1.7
2024-01-20,2.3,7.0
2024-01-21,1.6,2.5
2024-01-22,7.0,0
2024-01-23,1.3,0
2024-01-24,1.3,7.1
2024-01-25,2.8,0
2024-01-26,0.8,0
2024-01-27,-2.2,4.3
2024-01-28,3.6,2.9
2024-01-29,10.1,0
2024-01-30,1.4,6.7
2024-01-31,6.0,0
2024-02-01,3.3,6.4
2024-02-02,-2.3,0
2024-02-03,5.2,0
2024-02-04,13.5,2.3
2024-02-05,3.7,0
2024-02-06,4.2,0
2024-02-07,-4.0,0
2024-02-08,10.2,0
2024-02-09,3.8,0
2024-02-10,3.2,0
2024-02-11,1.3,0
2024-02-12,3.1,0
2024-02-13,5.0,0
2024-02-14,5.4,0
2024-02-15,2.1,8.6
2024-02-16,0.7,0
2024-02-17,0.7,0.5
2024-02-18,0.2,0
2024-02-19,3.9,0
2024-02-20,10.9,0
2024-02-21,5.0,0
2024-02-22,3.8,0
2024-02-23,5.2,0
2024-02-24,7.3,3.0
2024-02-25,4.7,0
2024-02-26,0.7,1.0
2024-02-27,6.7,0
2024-02-28,-0.1,0
2024-02-29,1.0,0
2024-03-01,13.9,0
2024-03-02,3.4,0
2024-03-03,2.9,5.7
2024-03-04,5.3,0
2024-03-05,6.3,8.2
2024-03-06,1.9,0.6
2024-03-07,9.7,7.9
2024-03-08,10.6,0
2024-03-09,0.3,0
2024-03-10,6.5,4.4
2024-03-11,7.5,0
2024-03-12,1.0,0
2024-03-13,6.9,0
2024-03-14,8.4,2.9
2024-03-15,7.5,0
2024-03-16,3.2,1.7
2024-03-17,6.3,0
2024-03-18,13.2,0
2024-03-19,5.5,0
2024-03-20,6.3,0
2024-03-21,13.4,0
2024-03-22,5.5,0
2024-03-23,7.1,0
2024-03-24,9.7,0
2024-03-25,8.2,1.2
2024-03-26,4.0,0
2024-03-27,16.8,0
2024-03-28,4.8,0
2024-03-29,9.0,0
2024-03-30,9.7,0
2024-03-31,3.0,0
2024-04-01,4.8,0
2024-04-02,6.2,2.0
2024-04-03,7.8,0
2024-04-04,5.7,7.7
2024-04-05,12.7,0
2024-04-06,6.1,0
2024-04-07,5.4,0
2024-04-08,6.9,0
2024-04-09,6.7,0
2024-04-10,6.7,0.0
2024-04-11,7.9,0
2024-04-12,19.2,0
2024-04-13,9.8,0
2024-04-14,11.7,0
2024-04-15,11.6,0
2024-04-16,12.0,0
2024-04-17,5.7,0
2024-04-18,9.7,0
2024-04-19,9.7,0
2024-04-20,4.1,1.8
2024-04-21,11.2,0
2024-04-22,9.8,0
2024-04-23,14.6,0
2024-04-24,8.9,0
2024-04-25,15.6,0
2024-04-26,8.7,1.9
2024-04-27,11.6,0
2024-04-28,10.9,0
2024-04-29,7.4,9.2
2024-04-30,14.2,0
2024-05-01,6.0,0
2024-05-02,10.0,3.0
2024-05-03,13.5,0
2024-05-04,13.5,0
2024-05-05,6.2,0.0
2024-05-06,13.4,0
2024-05-07,14.5,0
2024-05-08,10.2,9.0
2024-05-09,9.8,0
2024-05-10,14.8,0
2024-05-11,12.4,0
2024-05-12,10.0,0
2024-05-13,16.4,0
2024-05-14,13.3,0
2024-05-15,11.7,0
2024-05-16,14.1,0
2024-05-17,18.7,1.0
2024-05-18,11.3,1.6
2024-05-19,16.0,0
2024-05-20,16.0,0
2024-05-21,13.2,6.2
2024-05-22,13.4,0
2024-05-23,19.9,8.8
2024-05-24,16.3,0
2024-05-25,9.6,3.2
2024-05-26,11.4,0
2024-05-27,12.2,0
2024-05-28,13.3,5.6
2024-05-29,12.8,0
2024-05-30,14.3,0
2024-05-31,18.7,3.1
2024-06-01,12.5,0
2024-06-02,20.2,0
2024-06-03,17.8,0
2024-06-04,14.6,0
2024-06-05,16.6,0
2024-06-06,12.3,0
2024-06-07,9.4,0
2024-06-08,15.3,0
2024-06-09,17.1,0
2024-06-10,12.3,1.2
2024-06-11,9.2,0
2024-06-12,16.7,5.2
2024-06-13,17.5,0
2024-06-14,12.9,0
2024-06-15,20.6,0
2024-06-16,16.2,3.3
2024-06-17,16.1,0
2024-06-18,19.4,0
2024-06-19,18.3,0
2024-06-20,12.8,0
2024-06-21,15.9,0
2024-06-22,16.4,0
2024-06-23,14.9,5.8
2024-06-24,15.4,0.0
2024-06-25,22.2,0
2024-06-26,17.9,0
2024-06-27,12.3,0
2024-06-28,22.6,0
2024-06-29,14.6,0
2024-06-30,11.0,0
2024-07-01,16.5,0
2024-07-02,16.6,0
2024-07-03,16.8,0
2024-07-04,21.0,0
2024-07-05,15.1,0
2024-07-06,16.3,3.9
2024-07-07,15.3,0
2024-07-08,15.3,0
2024-07-09,13.8,0
2024-07-10,19.0,0
2024-07-11,20.1,0
2024-07-12,15.0,0
2024-07-13,11.4,4.7
2024-07-14,17.1,0
2024-07-15,21.5,0
2024-07-16,11.1,0
2024-07-17,13.1,0
2024-07-18,17.6,5.3
2024-07-19,14.7,0
2024-07-20,20.9,0
2024-07-21,17.3,0
2024-07-22,20.0,0
2024-07-23,17.5,0
2024-07-24,15.7,0
2024-07-25,19.7,1.5
2024-07-26,14.6,7.5
2024-07-27,17.0,0
2024-07-28,17.4,0
2024-07-29,17.2,0
2024-07-30,14.3,0
2024-07-31,20.4,0
2024-08-01,17.0,0
2024-08-02,18.5,0.4
2024-08-03,14.9,0
