犯罪类型,男性,女性,男性比例,女性比例,汇总,性别差,性别差比例
​​谋杀和非过失杀人​​,15200,1800,89.40%,10.60%,17000,13400,0.788235294
​​强奸​​,18900,0,100.00%,0.00%,18900,18900,1
​​抢劫​​,95400,7600,92.60%,7.40%,103000,87800,0.852427184
​​严重伤害​​,188000,35500,84.10%,15.90%,223500,152500,0.682326622
入室盗窃​​,225800,24200,90.30%,9.70%,250000,201600,0.8064
​​盗窃​​,773600,312600,71.20%,28.80%,1086200,461000,0.424415393
​​机动车盗窃​​,100700,9800,91.10%,8.90%,110500,90900,0.822624434
​​纵火​​,42500,5200,89.10%,10.90%,47700,37300,0.78197065
毒品犯罪,624900,118600,84.00%,16.00%,743500,506300,0.680968393
酗酒驾驶,1238100,149800,89.20%,10.80%,1387900,1088300,0.784134304
​​轻微伤害,498624,94976,84.00%,16.00%,593600,403648,0.68
醉酒,907390,117910,88.50%,11.50%,1025300,789480,0.769999025
流浪​​,240690,41810,85.20%,14.80%,282500,198880,0.704
商业性行为,31200,58700,34.70%,65.30%,89900,-27500,-0.305895439
离家出走,68900,93200,42.50%,57.50%,162100,-24300,-0.149907465
