date,value
2022-01-01,63
2022-01-02,63
2022-01-03,43
2022-01-04,69
2022-01-05,33
2022-01-06,48
2022-01-07,45
2022-01-08,57
2022-01-09,84
2022-01-10,59
2022-01-11,48
2022-01-12,41
2022-01-13,44
2022-01-14,56
2022-01-15,57
2022-01-16,64
2022-01-17,48
2022-01-18,43
2022-01-19,69
2022-01-20,57
2022-01-21,75
2022-01-22,65
2022-01-23,95
2022-01-24,80
2022-01-25,56
2022-01-26,86
2022-01-27,59
2022-01-28,73
2022-01-29,98
2022-01-30,77
2022-01-31,82
2022-02-01,69
2022-02-02,74
2022-02-03,59
2022-02-04,79
2022-02-05,92
2022-02-06,98
2022-02-07,83
2022-02-08,69
2022-02-09,88
2022-02-10,75
2022-02-11,89
2022-02-12,100
2022-02-13,77
2022-02-14,87
2022-02-15,81
2022-02-16,80
2022-02-17,77
2022-02-18,75
2022-02-19,88
2022-02-20,90
2022-02-21,91
2022-02-22,70
2022-02-23,90
2022-02-24,86
2022-02-25,86
2022-02-26,100
2022-02-27,100
2022-02-28,91
2022-03-01,68
2022-03-02,81
2022-03-03,89
2022-03-04,83
2022-03-05,90
2022-03-06,97
2022-03-07,100
2022-03-08,67
2022-03-09,84
2022-03-10,67
2022-03-11,100
2022-03-12,99
2022-03-13,100
2022-03-14,94
2022-03-15,97
2022-03-16,98
2022-03-17,100
2022-03-18,81
2022-03-19,100
2022-03-20,89
2022-03-21,72
2022-03-22,96
2022-03-23,76
2022-03-24,100
2022-03-25,100
2022-03-26,100
2022-03-27,100
2022-03-28,80
2022-03-29,96
2022-03-30,100
2022-03-31,76
2022-04-01,81
2022-04-02,100
2022-04-03,92
2022-04-04,97
2022-04-05,82
2022-04-06,87
2022-04-07,79
2022-04-08,96
2022-04-09,100
2022-04-10,95
2022-04-11,100
2022-04-12,100
2022-04-13,100
2022-04-14,100
2022-04-15,84
2022-04-16,100
2022-04-17,100
2022-04-18,87
2022-04-19,82
2022-04-20,69
2022-04-21,100
2022-04-22,92
2022-04-23,100
2022-04-24,100
2022-04-25,75
2022-04-26,77
2022-04-27,87
2022-04-28,89
2022-04-29,94
2022-04-30,100
2022-05-01,81
2022-05-02,98
2022-05-03,100
2022-05-04,70
2022-05-05,100
2022-05-06,83
2022-05-07,100
2022-05-08,81
2022-05-09,62
2022-05-10,83
2022-05-11,74
2022-05-12,78
2022-05-13,69
2022-05-14,100
2022-05-15,100
2022-05-16,69
2022-05-17,72
2022-05-18,81
2022-05-19,87
2022-05-20,96
2022-05-21,100
2022-05-22,100
2022-05-23,76
2022-05-24,79
2022-05-25,65
2022-05-26,86
2022-05-27,70
2022-05-28,75
2022-05-29,73
2022-05-30,88
2022-05-31,59
2022-06-01,73
2022-06-02,81
2022-06-03,50
2022-06-04,86
2022-06-05,92
2022-06-06,48
2022-06-07,58
2022-06-08,51
2022-06-09,73
2022-06-10,54
2022-06-11,76
2022-06-12,60
2022-06-13,74
2022-06-14,65
2022-06-15,80
2022-06-16,46
2022-06-17,59
2022-06-18,66
2022-06-19,71
2022-06-20,56
2022-06-21,59
2022-06-22,44
2022-06-23,76
2022-06-24,58
2022-06-25,85
2022-06-26,73
2022-06-27,55
2022-06-28,61
2022-06-29,71
2022-06-30,49
2022-07-01,55
2022-07-02,70
2022-07-03,79
2022-07-04,58
2022-07-05,48
2022-07-06,63
2022-07-07,33
2022-07-08,39
2022-07-09,72
2022-07-10,49
2022-07-11,57
2022-07-12,31
2022-07-13,33
2022-07-14,41
2022-07-15,37
2022-07-16,38
2022-07-17,55
2022-07-18,26
2022-07-19,26
2022-07-20,52
2022-07-21,46
2022-07-22,37
2022-07-23,68
2022-07-24,40
2022-07-25,23
2022-07-26,39
2022-07-27,36
2022-07-28,32
2022-07-29,25
2022-07-30,61
2022-07-31,64
2022-08-01,26
2022-08-02,22
2022-08-03,21
2022-08-04,44
2022-08-05,15
2022-08-06,34
2022-08-07,61
2022-08-08,17
2022-08-09,23
2022-08-10,12
2022-08-11,11
2022-08-12,9
2022-08-13,26
2022-08-14,34
2022-08-15,4
2022-08-16,8
2022-08-17,4
2022-08-18,26
2022-08-19,14
2022-08-20,29
2022-08-21,33
2022-08-22,34
2022-08-23,11
2022-08-24,16
2022-08-25,1
2022-08-26,23
2022-08-27,39
2022-08-28,19
2022-08-29,28
2022-08-30,32
2022-08-31,0
2022-09-01,34
2022-09-02,0
2022-09-03,38
2022-09-04,46
2022-09-05,29
2022-09-06,27
2022-09-07,25
2022-09-08,22
2022-09-09,30
2022-09-10,46
2022-09-11,37
2022-09-12,6
2022-09-13,17
2022-09-14,22
2022-09-15,0
2022-09-16,10
2022-09-17,26
2022-09-18,19
2022-09-19,15
2022-09-20,24
2022-09-21,9
2022-09-22,0
2022-09-23,0
2022-09-24,42
2022-09-25,16
2022-09-26,1
2022-09-27,24
2022-09-28,28
2022-09-29,21
2022-09-30,29
2022-10-01,9
2022-10-02,30
2022-10-03,11
2022-10-04,4
2022-10-05,16
2022-10-06,1
2022-10-07,0
2022-10-08,25
2022-10-09,35
2022-10-10,0
2022-10-11,11
2022-10-12,7
2022-10-13,0
2022-10-14,7
2022-10-15,26
2022-10-16,36
2022-10-17,11
2022-10-18,28
2022-10-19,25
2022-10-20,25
2022-10-21,9
2022-10-22,46
2022-10-23,42
2022-10-24,13
2022-10-25,19
2022-10-26,10
2022-10-27,18
2022-10-28,13
2022-10-29,29
2022-10-30,24
2022-10-31,1
2022-11-01,19
2022-11-02,21
2022-11-03,1
2022-11-04,17
2022-11-05,27
2022-11-06,33
2022-11-07,11
2022-11-08,12
2022-11-09,12
2022-11-10,34
2022-11-11,6
2022-11-12,52
2022-11-13,54
2022-11-14,29
2022-11-15,38
2022-11-16,20
2022-11-17,19
2022-11-18,8
2022-11-19,25
2022-11-20,47
2022-11-21,35
2022-11-22,33
2022-11-23,29
2022-11-24,43
2022-11-25,38
2022-11-26,61
2022-11-27,27
2022-11-28,35
2022-11-29,18
2022-11-30,17
2022-12-01,49
2022-12-02,37
2022-12-03,28
2022-12-04,38
2022-12-05,50
2022-12-06,30
2022-12-07,22
2022-12-08,16
2022-12-09,22
2022-12-10,54
2022-12-11,66
2022-12-12,17
2022-12-13,53
2022-12-14,18
2022-12-15,28
2022-12-16,50
2022-12-17,48
2022-12-18,71
2022-12-19,43
2022-12-20,26
2022-12-21,28
2022-12-22,26
2022-12-23,44
2022-12-24,65
2022-12-25,71
2022-12-26,41
2022-12-27,57
2022-12-28,52
2022-12-29,50
2022-12-30,66
2022-12-31,60
2023-01-01,85
2023-01-02,61
2023-01-03,44
2023-01-04,35
2023-01-05,46
2023-01-06,73
2023-01-07,60
2023-01-08,87
