date,value
2022/1/1,47 
2022/1/2,18 
2022/1/3,65 
2022/1/4,79 
2022/1/5,68 
2022/1/6,25 
2022/1/7,30 
2022/1/8,42 
2022/1/9,23 
2022/1/10,51 
2022/1/11,63 
2022/1/12,81 
2022/1/13,39 
2022/1/14,44 
2022/1/15,40 
2022/1/16,37 
2022/1/17,54 
2022/1/18,67 
2022/1/19,75 
2022/1/20,35 
2022/1/21,23 
2022/1/22,46 
2022/1/23,7 
2022/1/24,54 
2022/1/25,63 
2022/1/26,86 
2022/1/27,26 
2022/1/28,25 
2022/1/29,37 
2022/1/30,14 
2022/1/31,53 
2022/2/1,63 
2022/2/2,88 
2022/2/3,32 
2022/2/4,35 
2022/2/5,54 
2022/2/6,7 
2022/2/7,44 
2022/2/8,68 
2022/2/9,77 
2022/2/10,16 
2022/2/11,46 
2022/2/12,40 
2022/2/13,12 
2022/2/14,61 
2022/2/15,54 
2022/2/16,77 
2022/2/17,11 
2022/2/18,39 
2022/2/19,54 
2022/2/20,16 
2022/2/21,49 
2022/2/22,60 
2022/2/23,75 
2022/2/24,40 
2022/2/25,40 
2022/2/26,37 
2022/2/27,16 
2022/2/28,54 
2022/3/1,61 
2022/3/2,63 
2022/3/3,37 
2022/3/4,25 
2022/3/5,47 
2022/3/6,25 
2022/3/7,65 
2022/3/8,47 
2022/3/9,77 
2022/3/10,37 
2022/3/11,37 
2022/3/12,53 
2022/3/13,21 
2022/3/14,49 
2022/3/15,74 
2022/3/16,65 
2022/3/17,23 
2022/3/18,39 
2022/3/19,49 
2022/3/20,32 
2022/3/21,65 
2022/3/22,68 
2022/3/23,60 
2022/3/24,16 
2022/3/25,47 
2022/3/26,51 
2022/3/27,18 
2022/3/28,61 
2022/3/29,65 
2022/3/30,70 
2022/3/31,33 
2022/4/1,44 
2022/4/2,56 
2022/4/3,25 
2022/4/4,40 
2022/4/5,67 
2022/4/6,81 
2022/4/7,25 
2022/4/8,42 
2022/4/9,39 
2022/4/10,35 
2022/4/11,54 
2022/4/12,49 
2022/4/13,81 
2022/4/14,40 
2022/4/15,37 
2022/4/16,37 
2022/4/17,9 
2022/4/18,60 
2022/4/19,63 
2022/4/20,81 
2022/4/21,14 
2022/4/22,42 
2022/4/23,58 
2022/4/24,14 
2022/4/25,67 
2022/4/26,51 
2022/4/27,75 
2022/4/28,44 
2022/4/29,39 
2022/4/30,63 
2022/5/1,21 
2022/5/2,35 
2022/5/3,68 
2022/5/4,68 
2022/5/5,37 
2022/5/6,30 
2022/5/7,40 
2022/5/8,23 
2022/5/9,44 
2022/5/10,60 
2022/5/11,72 
2022/5/12,26 
2022/5/13,23 
2022/5/14,33 
2022/5/15,11 
2022/5/16,68 
2022/5/17,58 
2022/5/18,67 
2022/5/19,25 
2022/5/20,46 
2022/5/21,32 
2022/5/22,26 
2022/5/23,72 
2022/5/24,58 
2022/5/25,58 
2022/5/26,33 
2022/5/27,42 
2022/5/28,51 
2022/5/29,26 
2022/5/30,47 
2022/5/31,70 
2022/6/1,68 
2022/6/2,35 
2022/6/3,46 
2022/6/4,60 
2022/6/5,33 
2022/6/6,61 
2022/6/7,58 
2022/6/8,70 
2022/6/9,39 
2022/6/10,39 
2022/6/11,60 
2022/6/12,32 
2022/6/13,44 
2022/6/14,84 
2022/6/15,68 
2022/6/16,39 
2022/6/17,33 
2022/6/18,63 
2022/6/19,28 
2022/6/20,58 
2022/6/21,65 
2022/6/22,82 
2022/6/23,30 
2022/6/24,39 
2022/6/25,60 
2022/6/26,25 
2022/6/27,60 
2022/6/28,67 
2022/6/29,70 
2022/6/30,30 
2022/7/1,30 
2022/7/2,35 
2022/7/3,16 
2022/7/4,63 
2022/7/5,68 
2022/7/6,72 
2022/7/7,19 
2022/7/8,19 
2022/7/9,39 
2022/7/10,4 
2022/7/11,56 
2022/7/12,49 
2022/7/13,65 
2022/7/14,32 
2022/7/15,32 
2022/7/16,47 
2022/7/17,32 
2022/7/18,58 
2022/7/19,70 
2022/7/20,72 
2022/7/21,14 
2022/7/22,44 
2022/7/23,39 
2022/7/24,23 
2022/7/25,42 
2022/7/26,65 
2022/7/27,84 
2022/7/28,39 
2022/7/29,40 
2022/7/30,40 
2022/7/31,30 
2022/8/1,54 
2022/8/2,68 
2022/8/3,74 
2022/8/4,25 
2022/8/5,44 
2022/8/6,40 
2022/8/7,9 
2022/8/8,56 
2022/8/9,77 
2022/8/10,63 
2022/8/11,35 
2022/8/12,56 
2022/8/13,53 
2022/8/14,23 
2022/8/15,54 
2022/8/16,63 
2022/8/17,70 
2022/8/18,37 
2022/8/19,39 
2022/8/20,40 
2022/8/21,18 
2022/8/22,63 
2022/8/23,60 
2022/8/24,77 
2022/8/25,21 
2022/8/26,19 
2022/8/27,58 
2022/8/28,19 
2022/8/29,54 
2022/8/30,58 
2022/8/31,77 
2022/9/1,37 
2022/9/2,42 
2022/9/3,42 
2022/9/4,19 
2022/9/5,67 
2022/9/6,56 
2022/9/7,79 
2022/9/8,28 
2022/9/9,14 
2022/9/10,51 
2022/9/11,9 
2022/9/12,53 
2022/9/13,70 
2022/9/14,74 
2022/9/15,16 
2022/9/16,32 
2022/9/17,60 
2022/9/18,26 
2022/9/19,60 
2022/9/20,65 
2022/9/21,79 
2022/9/22,30 
2022/9/23,46 
2022/9/24,46 
2022/9/25,25 
2022/9/26,35 
2022/9/27,70 
2022/9/28,75 
2022/9/29,28 
2022/9/30,33 
2022/10/1,53 
2022/10/2,18 
2022/10/3,67 
2022/10/4,56 
2022/10/5,84 
2022/10/6,32 
2022/10/7,33 
2022/10/8,54 
2022/10/9,46 
2022/10/10,61 
2022/10/11,61 
2022/10/12,74 
2022/10/13,32 
2022/10/14,42 
2022/10/15,54 
2022/10/16,7 
2022/10/17,56 
